"CommonName","IslandGroup","DemClass","value"
"Amsterdam Albatross","Amsterdam and St Paul","alpha",52
"Antipodean Albatross","Antipodes Islands","alpha",12572
"Antipodean Albatross","Auckland Islands","alpha",10530
"Atlantic Yellow-nosed Albatross","Gough","alpha",10600
"Black Petrel","New Zealand (Great Barrier Island)","alpha",3300
"Black-browed Albatross","Falkland Islands (Islas Malvinas)","alpha",798832
"Black-browed Albatross","South Georgia (Islas Georgias del Sur)","alpha",148592
"Black-browed Albatross","Kerguelen","alpha",6430
"Buller's Albatross","The Snares","alpha",17426
"Chatham Albatross","Chatham Island","alpha",9150
"Grey Petrel","Antipodes Islands","alpha",106000
"Grey-headed Albatross","South Georgia (Islas Georgias del Sur)","alpha",95348
"Light-mantled Albatross","Prince Edward Islands","alpha",1314
"Northern Giant Petrel","Prince Edward Islands","alpha",928
"Northern Royal Albatross","Chatham Island","alpha",11600
"Salvin's Albatross","The Snares","alpha",2390
"Sooty Albatross","Prince Edward Islands","alpha",4986
"Sooty Albatross","Tristan da Cunha","alpha",16916
"Southern Giant Petrel","Prince Edward Islands","alpha",4686
"Spectacled Petrel","Tristan da Cunha","alpha",20000
"Tristan Albatross","Gough","alpha",3526
"Wandering Albatross","South Georgia (Islas Georgias del Sur)","alpha",2840
"Wandering Albatross","Crozet","alpha",3716
"Wandering Albatross","Kerguelen","alpha",2374
"Westland Petrel","New Zealand","alpha",8000
"White-capped Albatross","Auckland Islands","alpha",194178
"White-chinned Petrel","South Georgia (Islas Georgias del Sur)","alpha",1546300
"White-chinned Petrel","Antipodes Islands","alpha",117450
"Amsterdam Albatross","Amsterdam and St Paul","beta",31.72
"Antipodean Albatross","Antipodes Islands","beta",7769.496
"Antipodean Albatross","Auckland Islands","beta",3190.59
"Atlantic Yellow-nosed Albatross","Gough","beta",6784
"Black Petrel","New Zealand (Great Barrier Island)","beta",2511.3
"Black-browed Albatross","Falkland Islands (Islas Malvinas)","beta",450541.248
