"TaxonOrder","CommonName","IslandGroup","alpha","beta","gamma","delta","zeta","theta"
"7","Amsterdam Albatross","Amsterdam and St Paul",102,69.054,32.946,68,32.8443896388391,148.427697197131
"5","Antipodean Albatross","Antipodes Islands",7890,4734,3156,8244.96932515337,2428.44365847454,15566.6484492522
"6","Antipodean Albatross","Auckland Islands",11634,4967.718,6666.282,10071.223880597,2634.8798326396,18401.3772177266
"20","Atlantic Yellow-nosed Albatross","Gough",10600,6678,3922,5583.20610687023,3432.48629145597,14738.2330025967
"32","Black Petrel","New Zealand (Great Barrier Island)",4854,3567.69,1286.31,1213.5,1814.1716880922,4964.90481511086
"15","Black-browed Albatross","Falkland Islands (Islas Malvinas)",798832,495275.84,303556.16,216202.307496823,243199.38085098,848992.433545961
"18","Black-browed Albatross","South Georgia (Islas Georgias del Sur)",148592,44577.6,104014.4,104977.965870307,24634.4369566147,149186.59737056
"17","Black-browed Albatross","Kerguelen",6430,4906.09,1523.91,1430.63569682152,2487.6170293101,10473.9600408439
"16","Black-browed Albatross","Islas Diego Ramirez",110000,82500,27500,29771.2833545108,40119.4091047505,136022.063222179
"12","Buller's Albatross","The Snares",17408,12655.616,4752.384,4352,6161.8661139594,33637.8680104081
"11","Chatham Albatross","Chatham Island",10490,4856.87,5633.13,3080.50452781371,2546.62325684813,9594.23005631338
"34","Grey Petrel","Antipodes Islands",106000,77910,28090,24864.1975308642,38195.4012903195,103754.83096494
"36","Grey Petrel","Gough",30000,22050,7950,7037.03703703703,10810.0192331093,29364.5748013982
"35","Grey Petrel","Prince Edward Islands",10000,7350,2650,2345.67901234568,3574.50321453128,10128.8546868008
"14","Grey-headed Albatross","South Georgia (Islas Georgias del Sur)",95348,34802.02,60545.98,163749.826086957,17777.994661183,138798.652727185
"13","Grey-headed Albatross","Prince Edward Islands",19000,8113,10887,12613.9767054908,4110.80599684925,23462.5653343455
"19","Indian Yellow-nosed Albatross","Amsterdam and St Paul",44000,6996,37004,23175.572519084,3809.33416567641,15543.6210825732
"23","Light-mantled Albatross","Prince Edward Islands",1314,462.528,851.472,887.005025125628,233.615195621608,1198.54973799116
"26","Northern Giant Petrel","Prince Edward Islands",1500,1020,480,554.794520547945,540.752012889869,2159.17533916632
"27","Northern Giant Petrel","South Georgia (Islas Georgias del Sur)",8620,4939.26,3680.74,3188.21917808219,2578.8276304377,10560.8028845138
"8","Northern Royal Albatross","Chatham Island",11600,4953.2,6646.8,8365.57659208262,2471.04524840832,10464.5769043868
"10","Salvin's Albatross","The Snares",2390,1116.13,1273.87,392.305005820722,551.885342511146,1945.82459485375
"21","Sooty Albatross","Prince Edward Islands",4986,2792.16,2193.84,3324,1454.43583557036,7596.19533443717
"22","Sooty Albatross","Tristan da Cunha",16916,8119.68,8796.32,11277.3333333333,4247.52292778413,22608.3343298183
"24","Southern Giant Petrel","Prince Edward Islands",5600,3080,2520,2071.23287671233,1624.0093074844,5491.94272752177
"25","Southern Giant Petrel","South Georgia (Islas Georgias del Sur)",11000,4939,6061,4068.49315068493,2543.58307879396,8853.5098290231
"31","Spectacled Petrel","Tristan da Cunha",60000,36000,24000,15949.3670886076,16940.1485523036,32347.9828979225
"4","Tristan Albatross","Gough",3300,933.9,2366.1,2700,497.975889704478,2459.60354019915
"3","Wandering Albatross","South Georgia (Islas Georgias del Sur)",3716,3002.528,713.472,6464.82191780822,1619.0551038035,7712.1017720762
"1","Wandering Albatross","Crozet",3630,2649.9,980.1,2785.69459172853,1311.97527004206,6162.31232641707
"2","Wandering Albatross","Kerguelen",2368,1728.64,639.36,1817.22446094026,855.767379594122,4022.26003525748
"33","Westland Petrel","New Zealand",8000,4856,3144,9391.30434782609,2444.96257935246,9641.18583966747
"9","White-capped Albatross","Auckland Islands",194178,122332.14,71845.86,91377.8823529412,60722.7169608527,214283.422931488
"30","White-chinned Petrel","South Georgia (Islas Georgias del Sur)",1546300,686557.2,859742.8,515433.333333333,360067.33111091,1002226.03456172
"29","White-chinned Petrel","Prince Edward Islands",72000,42480,29520,24000,22488.6082174235,44961.5543087566
"28","White-chinned Petrel","Antipodes Islands",80000,24000,56000,26666.6666666667,12185.3810480019,31409.6826584975
