"CommonName","IslandGroup","TaxonOrder","DemClass","value"
"Amsterdam Albatross","Amsterdam and St Paul","7","alpha",102
"Antipodean Albatross","Antipodes Islands","5","alpha",7890
"Antipodean Albatross","Auckland Islands","6","alpha",11634
"Atlantic Yellow-nosed Albatross","Gough","20","alpha",10600
"Black Petrel","New Zealand (Great Barrier Island)","32","alpha",4854
"Black-browed Albatross","Falkland Islands (Islas Malvinas)","15","alpha",798832
"Black-browed Albatross","South Georgia (Islas Georgias del Sur)","18","alpha",148592
"Black-browed Albatross","Kerguelen","17","alpha",6430
"Black-browed Albatross","Islas Diego Ramirez","16","alpha",110000
"Buller's Albatross","The Snares","12","alpha",17408
"Chatham Albatross","Chatham Island","11","alpha",10490
"Grey Petrel","Antipodes Islands","34","alpha",106000
"Grey Petrel","Gough","36","alpha",30000
"Grey Petrel","Prince Edward Islands","35","alpha",10000
"Grey-headed Albatross","South Georgia (Islas Georgias del Sur)","14","alpha",95348
"Grey-headed Albatross","Prince Edward Islands","13","alpha",19000
"Indian Yellow-nosed Albatross","Amsterdam and St Paul","19","alpha",44000
"Light-mantled Albatross","Prince Edward Islands","23","alpha",1314
"Northern Giant Petrel","Prince Edward Islands","26","alpha",1500
"Northern Giant Petrel","South Georgia (Islas Georgias del Sur)","27","alpha",8620
"Northern Royal Albatross","Chatham Island","8","alpha",11600
"Salvin's Albatross","The Snares","10","alpha",2390
"Sooty Albatross","Prince Edward Islands","21","alpha",4986
"Sooty Albatross","Tristan da Cunha","22","alpha",16916
"Southern Giant Petrel","Prince Edward Islands","24","alpha",5600
"Southern Giant Petrel","South Georgia (Islas Georgias del Sur)","25","alpha",11000
"Spectacled Petrel","Tristan da Cunha","31","alpha",60000
"Tristan Albatross","Gough","4","alpha",3300
"Wandering Albatross","South Georgia (Islas Georgias del Sur)","3","alpha",3716
"Wandering Albatross","Crozet","1","alpha",3630
"Wandering Albatross","Kerguelen","2","alpha",2368
"Westland Petrel","New Zealand","33","alpha",8000
"White-capped Albatross","Auckland Islands","9","alpha",194178
"White-chinned Petrel","South Georgia (Islas Georgias del Sur)","30","alpha",1546300
"White-chinned Petrel","Prince Edward Islands","29","alpha",72000
"White-chinned Petrel","Antipodes Islands","28","alpha",80000
"Amsterdam Albatross","Amsterdam and St Paul","7","beta",69.054
"Antipodean Albatross","Antipodes Islands","5","beta",4734
"Antipodean Albatross","Auckland Islands","6","beta",4967.718
"Atlantic Yellow-nosed Albatross","Gough","20","beta",6678
"Black Petrel","New Zealand (Great Barrier Island)","32","beta",3567.69
"Black-browed Albatross","Falkland Islands (Islas Malvinas)","15","beta",495275.84
"Black-browed Albatross","South Georgia (Islas Georgias del Sur)","18","beta",44577.6
"Black-browed Albatross","Kerguelen","17","beta",4906.09
"Black-browed Albatross","Islas Diego Ramirez","16","beta",82500
"Buller's Albatross","The Snares","12","beta",12655.616
"Chatham Albatross","Chatham Island","11","beta",4856.87
"Grey Petrel","Antipodes Islands","34","beta",77910
"Grey Petrel","Gough","36","beta",22050
"Grey Petrel","Prince Edward Islands","35","beta",7350
"Grey-headed Albatross","South Georgia (Islas Georgias del Sur)","14","beta",34802.02
"Grey-headed Albatross","Prince Edward Islands","13","beta",8113
"Indian Yellow-nosed Albatross","Amsterdam and St Paul","19","beta",6996
"Light-mantled Albatross","Prince Edward Islands","23","beta",462.528
"Northern Giant Petrel","Prince Edward Islands","26","beta",1020
"Northern Giant Petrel","South Georgia (Islas Georgias del Sur)","27","beta",4939.26
"Northern Royal Albatross","Chatham Island","8","beta",4953.2
"Salvin's Albatross","The Snares","10","beta",1116.13
"Sooty Albatross","Prince Edward Islands","21","beta",2792.16
"Sooty Albatross","Tristan da Cunha","22","beta",8119.68
"Southern Giant Petrel","Prince Edward Islands","24","beta",3080
"Southern Giant Petrel","South Georgia (Islas Georgias del Sur)","25","beta",4939
"Spectacled Petrel","Tristan da Cunha","31","beta",36000
"Tristan Albatross","Gough","4","beta",933.9
"Wandering Albatross","South Georgia (Islas Georgias del Sur)","3","beta",3002.528
"Wandering Albatross","Crozet","1","beta",2649.9
